tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
448,56:59.0,04:27.0,486,Broadway & W 29 St,40.7462009,-73.98855723,497,E 17 St & Broadway,40.73704984,-73.99009296,32550,Subscriber,1940,1
681,8/23/2015 17:00,8/23/2015 17:12,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,497,E 17 St & Broadway,40.73704984,-73.99009296,19908,Customer,,0
207,5/1/2017 11:01,5/1/2017 11:04,296,Division St & Bowery,40.71413089,-73.9970468,355,Bayard St & Baxter St,40.71602118,-73.99974372,16034,Subscriber,1948,1
1424,12/18/2015 16:45,12/18/2015 17:08,521,8 Ave & W 31 St,40.75096735,-73.99444208,475,E 16 St & Irving Pl,40.73524276,-73.98758561,19788,Customer,,0
783,4/23/2015 13:19,4/23/2015 13:32,486,Broadway & W 29 St,40.7462009,-73.98855723,280,E 10 St & 5 Ave,40.73331967,-73.99510132,17580,Subscriber,1944,1
193,42:34.9,45:48.3,128,MacDougal St & Prince St,40.72710258,-74.00297088,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,26401,Subscriber,1983,1
1055,12/28/2017 10:22,12/28/2017 10:39,3459,E 53 St & 3 Ave,40.75763228,-73.96930575,379,W 31 St & 7 Ave,40.749156,-73.9916,27214,Subscriber,1991,2
304,6/6/2014 13:45,6/6/2014 13:50,280,E 10 St & 5 Ave,40.73331967,-73.99510132,223,W 13 St & 7 Ave,40.73781509,-73.99994661,19043,Subscriber,1975,1
311,7/7/2017 14:55,7/7/2017 15:00,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,16014,Subscriber,1989,1
1625,9/20/2014 16:43,9/20/2014 17:10,259,South St & Whitehall St,40.70122128,-74.01234218,393,E 5 St & Avenue C,40.72299208,-73.97995466,18569,Subscriber,1972,2
233,9/20/2016 8:35,9/20/2016 8:39,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,348,W Broadway & Spring St,40.72490985,-74.00154702,17652,Subscriber,1989,1
378,05:14.6,11:33.3,3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,3507,Park Ave & E 124 St,40.8045555,-73.9396861,28069,Subscriber,1983,1
320,6/6/2016 23:27,6/6/2016 23:32,3078,Broadway & Roebling St,40.70925562,-73.95982218,282,Kent Ave & S 11 St,40.70764494,-73.96841526,21649,Subscriber,1994,2
238,5/18/2016 10:14,5/18/2016 10:18,462,W 22 St & 10 Ave,40.74691959,-74.00451887,446,W 24 St & 7 Ave,40.74487634,-73.99529885,16173,Subscriber,1979,1
5983,2/21/2016 12:31,2/21/2016 14:10,297,E 15 St & 3 Ave,40.734232,-73.986923,497,E 17 St & Broadway,40.73704984,-73.99009296,24141,Customer,,0
502,4/3/2014 14:05,4/3/2014 14:13,496,E 16 St & 5 Ave,40.73726186,-73.99238967,247,Perry St & Bleecker St,40.73535398,-74.00483091,20135,Subscriber,1981,1
913,33:36.4,48:50.0,3676,Van Brunt St & Van Dyke St,40.67583294,-74.01472628,3440,Fulton St & Adams St,40.69241829,-73.98949474,32839,Subscriber,1969,2
496,12/9/2014 16:35,12/9/2014 16:43,147,Greenwich St & Warren St,40.71542197,-74.01121978,316,Fulton St & William St,40.70955958,-74.00653609,14886,Subscriber,1971,1
2156,10/4/2014 19:02,10/4/2014 19:38,382,University Pl & E 14 St,40.73492695,-73.99200509,499,Broadway & W 60 St,40.76915505,-73.98191841,21369,Subscriber,1980,2
162,6/6/2017 18:37,6/6/2017 18:39,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,3136,5 Ave & E 63 St,40.766368,-73.971518,17741,Subscriber,1991,1
739,47:38.2,59:58.2,335,Washington Pl & Broadway,40.72903917,-73.99404649,340,Madison St & Clinton St,40.71269042,-73.98776323,17181,Subscriber,1989,1
3413,8/14/2016 8:50,8/14/2016 9:47,309,Murray St & West St,40.7149787,-74.013012,545,E 23 St & 1 Ave,40.736502,-73.97809472,23821,Customer,,0
