UPCMasterId,UPC,UPCName,ASINMasterId,ASIN,ASIN_Name
64266,28400636575,"Ruffles Oven Baked Potato Chips, Roasted Garlic & Ranch, 6.25 Oz",57308,B06WGR1H88,"Baked Ruffles Oven Baked Ridged Potato Crisps, Roasted Garlic Ranch, 6.25 Ounce"
64266,28400636575,"Ruffles Oven Baked Potato Chips, Roasted Garlic & Ranch, 6.25 Oz",57430,B06XFSC7KT,"Ruffles Oven Baked Roasted Garlic & Ranch Flavored Potato Crisps, 6.25 Ounce"
64525,28400636698,"Lay's Potato Chips Variety Pack, 44 Count",55555,B01GGHY0NS,"Lay's Potato Chips Variety Pack, 44 Count"
48833,2840063670,"Cheetos Cheese Snacks, Variety Pack, 44 Count",55556,B01GGHY0Y2,"Cheetos Cheese Flavored Snacks Variety Pack, 44 Count"
47205,28400636711,Frito-Lay Doritos + Cheetos 44 Count - Variety Pack,55554,B01GGHXZLG,"Frito-Lay Doritos & Cheetos Mix Variety Pack, 44 Count"
47204,28400636728,Baked And Popped Variety Pack 40 Count - Variety Pack,55553,B01GGHXZHA,"Frito-Lay Baked & Popped Mix Variety Pack, 40 Count"
64267,28400637640,"Doritos Simply Organic Tortilla Chips, White Cheddar, 7.5 Oz",57410,B06XFCQ4JT,"Simply Organic Doritos White Cheddar Flavored Tortilla Chips, 7.5 Ounce"
64267,28400637640,"Doritos Simply Organic Tortilla Chips, White Cheddar, 7.5 Oz",57328,B06X93GRCH,"Simply Doritos Flavored Tortilla Chips, White Cheddar, 7.5 Ounce"
64503,28400637695,"Lay's Poppables Potato Chips, White Cheddar, 5 Oz",57943,B06Y1237CP,"Lay's Poppables Potato Snacks, White Cheddar Flavored, 5 Ounce"
64503,28400637695,"Lay's Poppables Potato Chips, White Cheddar, 5 Oz",57972,B06Y46RPWX,"Lay's Poppables White Cheddar Flavored Potato Snacks, 5 Ounce"
64504,28400637718,"Lay's Poppables Potato Chips, Sea Salt, 5 Oz",57968,B06Y41YRHB,"Lay's Poppables Sea Salted Potato Snacks, 5 Ounce"
64504,28400637718,"Lay's Poppables Potato Chips, Sea Salt, 5 Oz",57945,B06XZZBFBC,"Lay's Poppables Potato Snacks, Sea Salted, 5 Ounce"
64268,28400638012,"Cheetos Cheese Paws, 7.5 Oz",57312,B06WVCWQXV,"Cheetos Cheese Snacks, Paws, 7.5 Ounce"
64268,28400638012,"Cheetos Cheese Paws, 7.5 Oz",57425,B06XF7R9V1,"Cheetos Paws Cheese Flavored Snacks, 7.5 Ounce"
57601,28400639552,Smartfood Popcorn Whitchedar Chese 8.5Oz,57130,B01MY9522Z,"Smartfood White Cheddar Flavored Popcorn, 8.5 Ounce"
57601,28400639552,Smartfood Popcorn Whitchedar Chese 8.5Oz,56693,B01M8PAM3L,"Smartfood White Cheddar Flavored Popcorn, 8.5 Ounce"
87621,28400639750,"Smartfood Sweet & Salty Kettle Corn Flavored Popcorn, 10 Ounce",56688,B01N5HBX8K,"Smartfood Sweet & Salty Kettle Corn Flavored Popcorn, 10 Ounce"
87621,28400639750,"Smartfood Sweet & Salty Kettle Corn Flavored Popcorn, 10 Ounce",57141,B01N4OXFBM,"Smartfood Sweet & Salted Kettle Corn Flavored Popcorn, 10 Ounce"
57915,28400639767,"Smartfood Popcorn, Jalapeno Ranch, 7 Ounce",57145,B01N7T2N7F,"Smartfood Spicy Jalape̱o Ranch Flavored Popcorn, 7 Ounce"
57915,28400639767,"Smartfood Popcorn, Jalapeno Ranch, 7 Ounce",56685,B01MY05SIB,"Smartfood Spicy Jalape̱o Ranch Flavored Popcorn, 7 Ounce"
60910,28400639781,Smartfood Delight Popcorn Wht Chedar 6Oz,56687,B01MT104SI,"Smartfood Delight White Cheddar Flavored Popcorn, 6 Ounce"
60910,28400639781,Smartfood Delight Popcorn Wht Chedar 6Oz,57124,B01MS8BESX,"Smartfood Delight White Cheddar Flavored Popcorn, 6 Ounce"
59452,28400639804,Smartfood Popcorn Delight Sea Salt 5Oz,57133,B01NBVMEX2,"Smartfood Delights Sea Salted Popcorn, 5 Ounce"
57916,28400639897,"Smartfood Delights Popcorn, Sea Salted Caramel, 5 Ounce",57123,B01N23AAHU,"Smartfood Delights Sea Salted Caramel Flavored Popcorn, 5 Ounce"
57916,28400639897,"Smartfood Delights Popcorn, Sea Salted Caramel, 5 Ounce",56691,B01MT1040F,"Smartfood Delights Sea Salted Caramel Flavored Popcorn, 5 Ounce"
62967,28400640299,Smartfood White Cheddar Cheese Popcorn 10.5 Oz ,86817,B01MZAO2FD,"Smartfood Popcorn, Party Size White Cheddar, 10.5 Ounce"
57917,28400640305,"Smartfood Delights Popcorn, Sea Salt, 6 Ounce",56690,B01NAL40FZ,"Smartfood Delights Sea Salted Popcorn, Party Size! (6 Ounce)"
57917,28400640305,"Smartfood Delights Popcorn, Sea Salt, 6 Ounce",57144,B01MT9YJCC,"Smartfood Delights Sea Salted Popcorn, Party Size! (6 Ounce)"
87623,28400640312,"Matador Original Jerky, 4 Count",57125,B01N4HQ2N6,"Matador Original Jerky, 4 Count"
87623,28400640312,"Matador Original Jerky, 4 Count",56422,B01M655ROO,"Matador Original Jerky, 3 Ounce (Pack of 4)"
87625,28400640329,"Matador Peppered Jerky, 3 Ounce (Pack of 4)",56426,B01MCUR6JD,"Matador Peppered Jerky, 3 Ounce (Pack of 4)"
87625,28400640329,"Matador Peppered Jerky, 3 Ounce (Pack of 4)",57142,B01MT2SJRP,"Matador Peppered Jerky, 4 Count"
87627,28400640596,"Matador Teriyaki Jerky, 3 Ounce (Pack of 4)",56421,B01M5CEYP2,"Matador Teriyaki Jerky, 3 Ounce (Pack of 4)"
87627,28400640596,"Matador Teriyaki Jerky, 3 Ounce (Pack of 4)",57122,B01N7LXG89,"Matador Teriyaki Jerky, 4 Count"
87629,28400640602,"Matador Jerky Variety Pack, 4 Count",57128,B01NBODKLT,"Matador Jerky Variety Pack, 4 Count"
87629,28400640602,"Matador Jerky Variety Pack, 4 Count",56417,B01M2YBK2C,"Matador Jerky, Variety Pack, 4 Count"
57602,28400641326,Doritos Cooler Ranch 9.8Oz,57131,B01MS8B2RX,"Doritos Cool Ranch Flavored Tortilla Chips, 9.75 Ounce"
57602,28400641326,Doritos Cooler Ranch 9.8Oz,56678,B01N0SS3EH,"Doritos Cool Ranch Flavored Tortilla Chips, 9.75 Ounce"
115639,28400641333,Doritos Toasted Corn XX-Large 9.75oz,87476,B074N9Z3M6,Doritos Tortilla Chips
57918,28400641340,"Doritos Tortilla Chips, Salsa Verde, 9.5 Ounce",57379,B01N2W6QAI,"Doritos Salsa Verde Flavored Tortilla Chips, 9.75 Ounce"
57918,28400641340,"Doritos Tortilla Chips, Salsa Verde, 9.5 Ounce",57937,B01N23AHBH,"Doritos Tortilla Chips, Salsa Verde, 9.75 Ounce"
