UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
3000006567,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031597,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000006507,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000006211,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031381,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031884,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031885,Quaker,Cap'N Crunch,Quaker,Corporate,True,True
3000031322,Quaker,Chewy,Quaker,Corporate,True,True
3000045052,Quaker,Chewy,Quaker,Corporate,True,True
3000031269,Quaker,Chewy,Quaker,Corporate,True,True
3000031104,Quaker,Chewy,Quaker,Corporate,True,True
3000031103,Quaker,Chewy,Quaker,Corporate,True,True
3000031271,Quaker,Chewy,Quaker,Corporate,True,True
3000031521,Quaker,Chewy,Quaker,Corporate,True,True
3000032103,Quaker,Chewy,Quaker,Corporate,True,True
3000005575,Quaker,Chewy,Quaker,Corporate,True,True
3000031182,Quaker,Chewy,Quaker,Corporate,True,True
3000045017,Quaker,Chewy,Quaker,Corporate,True,True
3000005508,Quaker,Chewy,Quaker,Corporate,True,True
3000031175,Quaker,Chewy,Quaker,Corporate,True,True
3000007690,Quaker,Chewy,Quaker,Corporate,True,True
3000031186,Quaker,Chewy,Quaker,Corporate,True,True
3000032102,Quaker,Chewy,Quaker,Corporate,True,True
3000031180,Quaker,Chewy,Quaker,Corporate,True,True
3000031176,Quaker,Chewy,Quaker,Corporate,True,True
3000005576,Quaker,Chewy,Quaker,Corporate,True,True
3000031184,Quaker,Chewy,Quaker,Corporate,True,True
3000005568,Quaker,Chewy,Quaker,Corporate,True,True
3000031181,Quaker,Chewy,Quaker,Corporate,True,True
3000031188,Quaker,Chewy,Quaker,Corporate,True,True
3000031183,Quaker,Chewy,Quaker,Corporate,True,True
3000031282,Quaker,Chewy,Quaker,Corporate,True,True
3000031280,Quaker,Chewy,Quaker,Corporate,True,True
3000031281,Quaker,Chewy,Quaker,Corporate,True,True
3000003050,Quaker,Quaker,Quaker,Corporate,True,True
3000026337,Quaker,IQO,Quaker,Corporate,True,True
3000031956,Quaker,IQO,Quaker,Corporate,True,True
3000031957,Quaker,IQO,Quaker,Corporate,True,True
3000007843,Quaker,Quaker,Quaker,Corporate,True,True
3000031675,Quaker,POPPED,Quaker,Corporate,True,True
3000031674,Quaker,POPPED,Quaker,Corporate,True,True
3000003790,Quaker,Grits,Quaker,Corporate,True,True
3000004760,Quaker,Grits,Quaker,Corporate,True,True
3000004430,Quaker,Grits,Quaker,Corporate,True,True
3000001380,Quaker,IQO,Quaker,Corporate,True,True
3000031678,Quaker,IQO,Quaker,Corporate,True,True
3000026873,Quaker,IQO,Quaker,Corporate,True,True
3000031277,Quaker,IQO,Quaker,Corporate,True,True
3000026192,Quaker,IQO Premium,Quaker,Corporate,True,True
3000026291,Quaker,IQO,Quaker,Corporate,True,True
3000001460,Quaker,IQO,Quaker,Corporate,True,True
3000031209,Quaker,IQO,Quaker,Corporate,True,True
3000031684,Quaker,IQO,Quaker,Corporate,True,True
